,,,,,
Pays,nom,langue,url,catégories,
Arabie saoudite,Arab news,english,https://www.arabnews.com/,"https://www.arabnews.com/opinion

",généralement considéré comme reflétant la position officielle saoudienne et les orientations du pouvoir
Arabie saoudite,Arab news,english,https://www.arabnews.com/,https://www.arabnews.com/research,
Arabie saoudite,Al-Arabiya,arabe,https://www.alarabiya.net/,https://www.alarabiya.net/views,"Pro-saoudienne / alignée sur la politique du Royaume, anti islam politique"
Arabie saoudite,Al Sharq el-Awsat,arabe,https://aawsat.com/,https://aawsat.com/%D8%A7%D9%84%D8%B1%D8%A3%D9%8A,Pro-gouvernemental / diplomatique : ligne proche de la politique étrangère saoudienne.
Arabie saoudite,Al Sharq el-Awsat,arabe,https://aawsat.com/,https://aawsat.com/%D9%81%D9%8A-%D8%A7%D9%84%D8%B9%D9%85%D9%82,
Arabie saoudite,Okaz,arabe,https://www.okaz.com.sa/,https://www.okaz.com.sa/articles,"soutient les réformes et politiques internes, avec une approche plus populaire et accessible."
Arabie saoudite,Al-Watan,arabe,https://www.alwatan.com.sa/,https://www.alwatan.com.sa/%D8%B1%D8%A3%D9%8A,Pro-gouvernemental mais plus ouvert : historiquement un peu plus audacieux sur les questions sociales
Arabie saoudite,Saudi Gazette,english,https://saudigazette.com.sa/,https://saudigazette.com.sa/opinion,reflète la position officielle saoudienne à destination d’un public anglophone
Arabie saoudite,Al-Majalla,arabic,https://www.majalla.com/,https://www.majalla.com/sections/%D8%B1%D8%A3%D9%8A,"magazine conservateur, aligné sur les intérêts de la monarchie"
,,,,,
Turquie,Hurriyet,turkish,https://www.hurriyet.com.tr/ ,https://www.hurriyet.com.tr/yazarlar/ ,Mainstream / Liberalism / Secularism / pro-government (after 2018)
Turquie,Cumhuriyet,turkish,cumhuriyet.com.tr,https://www.cumhuriyet.com.tr/gunun-kose-yazilari ,"Anti government
Kemalism /Secularism/Laicism / Left-wing politics / Social democracy"
Turquie,Daily Sabah,english,https://www.dailysabah.com/,https://www.dailysabah.com/opinion,Pro-government
Turquie,Sabah,turkish,,https://www.sabah.com.tr/yazarlar,"Social conservatism
Hard Euroscepticism"
Turquie,Sozcu,turkish,https://www.sozcu.com.tr/,https://www.sozcu.com.tr/yazarlar,Anti government
Turquie,Milliyet,Turkish,https://www.milliyet.com.tr/,https://www.milliyet.com.tr/yazarlar/,"Conservatism
Turkish nationalism"
,,,,,
,,,,,
Jordanie,Jordan Times,English,https://jordantimes.com/,https://jordantimes.com/opinion,Independent (but gov got big shares)
Jordanie,Al Rai ,Arabic,https://alrai.com/,https://alrai.com/%D9%83%D8%AA%D8%A7%D8%A8,Pro-gov
Jordanie,Al Ghad,Arabic,https://alghad.com/,https://alghad.com/Section-114/%D9%85%D9%82%D8%A7%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D9%8A%D9%88%D9%85,Liberal
Jordanie,Assabel,Arabic,https://assabeel.net/,https://assabeel.net/category/articles,Islamic conservative
Oman,al Roya,arabic,https://alroya.om/,https://alroya.om/category/71/%D8%A7%D9%84%D9%85%D9%82%D8%A7%D9%84%D8%A7%D8%AA,
Oman,al Watan,arabic,https://alwatan.om/,https://alwatan.om/opinions,best selling
Oman,Oman Daily,arabic,https://www.omandaily.om/,https://www.omandaily.om/%D8%A3%D9%81%D9%83%D8%A7%D8%B1-%D9%88%D8%A2%D8%B1%D8%A7%D8%A1,
Oman,Oman Observer,english,https://www.omanobserver.om/,https://www.omanobserver.om/opinion,Gov
Oman,Muscat daily,english,https://www.muscatdaily.com/,https://www.muscatdaily.com/category/opinion/,pushes boundaries
Oman,Times of Oman,english,https://rssfeeds.timesofoman.com/index.php,https://timesofoman.com/category/opinion,targets expats
Oman,al Shabiba,arabic,https://shabiba.com/,https://shabiba.com/category/%D9%85%D9%82%D8%A7%D9%84%D8%A7%D8%AA-%D8%B1%D8%A3%D9%8A-%D9%88-%D8%AA%D8%AD%D9%84%D9%8A%D9%84%D8%A7%D8%AA,
,,,,,
Qatar,al Jazeera,english,https://www.aljazeera.com/,https://www.aljazeera.com/opinion/,
Qatar,Gulf Times,english,https://www.gulf-times.com/,https://www.gulf-times.com/opinion,Pro-gov
Qatar,The peninsula,english,https://thepeninsulaqatar.com/,https://thepeninsulaqatar.com/category/views,
Qatar,Al Raya,arabic,https://www.raya.com/,https://www.raya.com/morearticles/%D8%A2%D8%B1%D8%A7%D8%A1-%D9%88%D9%85%D9%82%D8%A7%D9%84%D8%A7%D8%AA/%D8%B1%D8%A3%D9%8A-%D8%A7%D9%84%D8%B1%D8%A7%D9%8A%D8%A9,Pro-gov
Qatar,Al Sharq,arabic,https://al-sharq.com/,https://al-sharq.com/%D8%A2%D8%B1%D8%A7%D8%A1-%D8%A7%D9%84%D9%83%D8%AA%D8%A7%D8%A8,Pro-gov
Qatar,Al Watan,arabic,https://www.al-watan.com/,https://www.al-watan.com/%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%A3%D8%B1%D8%A7%D8%A1,Pro-gov
,,,,,
régional,Middle East Eye,english,https://www.middleeasteye.net/,https://www.middleeasteye.net/opinion,
régional,New Lines Magazine,english,https://newlinesmag.com/,https://newlinesmag.com/argument/,
,,,,,
Koweït,Kuwait Times,english,https://kuwaittimes.com/,https://kuwaittimes.com/opinion/,Independent
Koweït,Al Qabas,arabic,https://www.alqabas.com/,https://www.alqabas.com/categories/17-%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%A2%D8%B1%D8%A7%D8%A1/,liberal
Koweït,Al Seyassah,arabic,https://alseyassah.com/,https://alseyassah.com/%D9%83%D9%84-%D8%A7%D9%84%D8%A2%D8%B1%D8%A7%D8%A1/,
Koweït,Al Anba,arabic,https://www.alanba.com.kw/newspaper/,https://www.alanba.com.kw/ar/opinion/,
Koweït,Al jarida,Arabic,https://www.aljarida.com/,https://www.aljarida.com/%D9%85%D9%82%D8%A7%D9%84%D8%A7%D8%AA,
Koweït,Arab Times,English,https://www.arabtimesonline.com/,https://www.arabtimesonline.com/news/category/opinion/,
,,,,,
Irak,al-Sabah,arabe,https://alsabaah.iq/,https://alsabaah.iq/%D8%A2%D8%B1%D8%A7%D8%A1/,state run
Irak,al Sabah al Jadeed,arabe,https://newsabah.com/,https://newsabah.com/newspaper/category/opinions,
Irak,Azzaman,arabe,https://www.azzaman.com/,https://www.azzaman.com/category/articles/,private
Irak,al Mada,arabe,https://almadapaper.net/,https://almadapaper.net/category/%D8%A7%D9%84%D8%B1%D8%A3%D9%8A/,private
Irak,Rudaw,multi,https://www.rudaw.net/,https://www.rudaw.net/english/opinion,
,,,,,
Syrie,Syria TV,arabe,https://www.syria.tv/,https://www.syria.tv/%D9%85%D9%82%D8%A7%D9%84%D8%A7%D8%AA,Bien connectés au gouv actuel
Syrie,Enab Baladi,AR/EN,https://english.enabbaladi.net/,https://english.enabbaladi.net/archives/category/opinion/,"Lib, bonne qualité
"
Syrie,Enab Baladi,AR/EN,https://english.enabbaladi.net/, https://english.enabbaladi.net/archives/category/in-depth/,
Syrie,Al Hal,arabe,https://7al.net/,https://7al.net/%d8%b9%d9%8a%d9%86-%d8%b9%d9%84%d9%89-%d8%a7%d9%84%d8%aa%d8%b7%d8%b1%d9%81/%d9%82%d8%b1%d8%a7%d8%a1%d8%a7%d8%aa-%d9%85%d8%b9%d9%85%d9%82%d8%a9/,
Syrie,Al Hal,arabe,https://7al.net/,https://7al.net/%d8%b9%d9%8a%d9%86-%d8%b9%d9%84%d9%89-%d8%a7%d9%84%d8%aa%d8%b7%d8%b1%d9%81/%d8%aa%d9%82%d8%a7%d8%b1%d9%8a%d8%b1-%d9%88%d8%aa%d8%ad%d9%84%d9%8a%d9%84%d8%a7%d8%aa/,
Syrie,Ultra Syria,arabe,https://ultrasyria.ultrasawt.com/,https://ultrasyria.ultrasawt.com/%D9%82%D9%88%D9%84,
Syrie,al Thawra al Souriyya,arabe,https://thawra.sy/,https://thawra.sy/thawra_blog/,Gouv
Syrie,al Thawra al Souriyya,arabe,https://thawra.sy/,https://thawra.sy/opinion/,Gouv
Syrie,Kassioun,arabe,https://kassioun.org/,https://kassioun.org/reports-and-opinions,lié au parti de la volonté populaire
Syrie,Levant24,english,https://levant24.com/,https://levant24.com/category/opinion/,
,,,,,
,,,,,
,,,,,
Emirats arabes unis,The National,english,https://www.thenationalnews.com/,https://www.thenationalnews.com/opinion/,mouthpiece for Abu Dhabi's worldview
